,Fine,On Fire,Burned Out,Saved
0,6462,65,0,0
1,6277,84,151,15
2,6124,75,296,32
3,6000,46,426,55
4,5894,56,513,64
5,5780,55,619,73
6,5686,36,713,92
7,5603,25,784,115
8,5523,31,840,133
9,5464,28,895,140
10,5381,45,950,151
11,5291,53,1021,162
12,5166,62,1118,181
13,5013,84,1241,189
14,4875,58,1384,210
15,4744,54,1490,239
16,4608,60,1593,266
17,4483,43,1699,302
18,4387,35,1772,333
19,4296,47,1839,345
20,4186,47,1927,367
21,4065,64,2010,388
22,3932,54,2122,419
23,3829,54,2205,439
24,3702,61,2308,456
25,3552,63,2422,490
26,3451,48,2524,504
27,3318,58,2619,532
28,3204,68,2712,543
29,3034,76,2839,578
30,2934,44,2953,596
31,2803,51,3046,627
32,2696,46,3138,647
33,2601,32,3213,681
34,2541,25,3263,698
35,2479,35,3309,704
36,2418,26,3368,715
37,2391,13,3402,721
38,2348,17,3433,729
39,2300,20,3475,732
40,2255,25,3511,736
41,2189,34,3559,745
42,2149,17,3606,755
43,2123,11,3631,762
44,2103,10,3648,766
45,2090,3,3661,773
46,2086,2,3666,773
47,2082,1,3669,775
48,2081,0,3670,776
