,Fine,On Fire,Burned Out,Protected
0,6491,61,0,0
1,6306,100,139,7
2,6119,91,324,18
3,5978,58,482,34
4,5890,38,573,51
5,5828,28,634,62
6,5781,26,673,72
7,5724,32,716,80
8,5671,21,766,94
9,5568,47,837,100
10,5479,44,921,108
11,5384,40,1001,127
12,5301,35,1072,144
13,5236,28,1130,158
14,5168,32,1178,174
15,5109,28,1227,188
16,5017,38,1283,214
17,4935,36,1350,231
18,4859,39,1409,245
19,4768,49,1481,254
20,4693,37,1562,260
21,4599,51,1634,268
22,4460,66,1737,289
23,4321,62,1859,310
24,4185,68,1971,328
25,4034,62,2112,344
26,3929,48,2216,359
27,3844,37,2293,378
28,3783,37,2347,385
29,3693,47,2412,400
30,3585,41,2495,431
31,3516,25,2565,446
32,3447,25,2618,462
33,3401,18,2659,474
34,3355,25,2695,477
35,3300,27,2734,491
36,3246,22,2778,506
37,3195,21,2818,518
38,3119,37,2868,528
39,3063,31,2917,541
40,2989,41,2976,546
41,2876,55,3064,557
42,2780,37,3158,577
43,2674,44,3239,595
44,2538,63,3334,617
45,2395,58,3448,651
46,2286,38,3554,674
47,2219,40,3610,683
48,2115,43,3693,701
49,2034,29,3762,727
50,1948,33,3831,740
51,1817,60,3919,756
52,1711,49,4018,774
53,1624,38,4101,789
54,1526,43,4173,810
55,1441,32,4248,831
56,1385,25,4293,849
57,1312,29,4347,864
58,1271,10,4388,883
59,1261,3,4398,890
60,1260,0,4401,891
