,Fine,On Fire,Burned Out,Fireman
0,7271,78,0,217
1,7058,107,184,217
2,6931,74,344,217
3,6819,49,481,217
4,6784,25,540,217
5,6761,17,571,217
6,6740,13,596,217
7,6720,11,618,217
8,6697,10,642,217
9,6673,16,660,217
10,6641,20,688,217
11,6607,20,722,217
12,6584,9,756,217
13,6571,11,767,217
14,6554,8,787,217
15,6533,12,804,217
16,6519,6,824,217
17,6488,14,847,217
18,6471,7,871,217
19,6466,4,879,217
20,6464,2,883,217
21,6463,1,885,217
22,6459,2,888,217
23,6456,2,891,217
24,6455,0,894,217
