,Fine,On Fire,Burned Out,Protected
0,6364,65,0,0
1,6190,93,146,0
2,6011,86,332,0
3,5808,100,521,0
4,5585,110,734,0
5,5384,116,929,0
6,5200,101,1128,0
7,5002,107,1320,0
8,4806,121,1502,0
9,4565,138,1726,0
10,4324,131,1974,0
11,4137,100,2192,0
12,3906,128,2395,0
13,3699,121,2609,0
14,3509,99,2821,0
15,3309,109,3011,0
16,3074,131,3224,0
17,2867,121,3441,0
18,2658,100,3671,0
19,2450,114,3865,0
20,2206,131,4092,0
21,1995,113,4321,0
22,1798,110,4521,0
23,1544,131,4754,0
24,1259,145,5025,0
25,1017,127,5285,0
26,797,127,5505,0
27,559,136,5734,0
28,335,121,5973,0
29,177,90,6162,0
30,72,55,6302,0
31,23,24,6382,0
32,11,9,6409,0
33,6,4,6419,0
34,5,1,6423,0
35,5,0,6424,0
